电影名,年份,地区,剧情类型,导演,主演,评分,评论人数,简介
一次别离,2011 , 伊朗 法国 , 剧情 家庭, 阿斯哈·法哈蒂  Asghar Farhadi   ,佩曼·莫阿迪 Peyman Moadi /...,8.7,167462人评价,只有有信仰的人才能说出事实真相。
追随,1998 , 英国 , 犯罪 悬疑 惊悚, 克里斯托弗·诺兰 Christopher Nolan   ,杰里米·西奥伯德 Jeremy...,8.9,107785人评价,诺兰的牛逼来源于内心散发出的恐惧。
奇迹男孩,2017 , 美国 香港 , 剧情 儿童 家庭, 斯蒂芬·卓博斯基 Stephen Chbosky   ,雅各布·特伦布莱 Jacob Tr...,8.6,319597人评价,世界不完美，爱会有奇迹。
再次出发之纽约遇见你,2013 , 美国 , 喜剧 爱情 音乐, 约翰·卡尼 John Carney   ,凯拉·奈特莉 Keira Knightley / 马克...,8.5,243703人评价,爱我就给我看你的播放列表。
无耻混蛋,2009 , 美国 德国 , 剧情 犯罪, Quentin Tarantino   ,布拉德·皮特 Brad Pitt / 梅拉尼·罗兰 M...,8.5,292378人评价,昆汀同学越来越变态了，比北野武还杜琪峰。
撞车,2004 , 美国 德国 , 犯罪 剧情, 保罗·哈吉斯 Paul Haggis   ,桑德拉·布洛克 Sandra Bullock / ...,8.6,218511人评价,天使与魔鬼的冲撞。
东京物语,1953 , 日本 , 剧情 家庭, 小津安二郎 Yasujirô Ozu   ,笠智众 Chishû Ryû / 原节...,9.2,72500人评价,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。
血钻,2006 , 美国 德国 , 剧情 惊悚 冒险, 爱德华·兹威克 Edward Zwick   ,莱昂纳多·迪卡普里奥 Leonardo ...,8.6,194752人评价,每个美丽事物背后都是滴血的现实。
彗星来的那一夜,2013 , 美国 英国 , 科幻 悬疑 惊悚, 詹姆斯·沃德·布柯特 James Ward Byrkit   ,艾米丽·芭尔多尼 Em...,8.5,273871人评价,小成本大魅力。
城市之光,1931 , 美国 , 喜剧 剧情 爱情, Charles Chaplin   ,查理·卓别林 Charles Chaplin / 弗吉尼亚·...,9.3,64538人评价,永远的小人物，伟大的卓别林。
2001太空漫游,1968 , 英国 美国 , 科幻 惊悚 冒险, 斯坦利·库布里克 Stanley Kubrick   ,凯尔·杜拉 Keir Dullea / ...,8.7,148220人评价,现代科幻电影的开山之作，最伟大导演的最伟大影片。
梦之安魂曲,2000 , 美国 , 剧情, 达伦·阿伦诺夫斯基 Darren Aronofsky   ,艾伦·伯斯汀 Ellen Bur...,8.7,144152人评价,一场没有春天的噩梦。
绿里奇迹,1999 , 美国 , 犯罪 剧情 奇幻 悬疑, Frank Darabont   ,汤姆·汉克斯 Tom Hanks / 大卫·摩斯 David M...,8.7,144251人评价,天使暂时离开。
釜山行,2016 , 韩国 , 动作 惊悚 灾难, 延尚昊 Sang-ho Yeon   ,孔侑 Yoo Gong / 郑有美 Yu-mi Jung / 马...,8.4,554375人评价,揭露人性的丧尸题材力作。
疯狂的麦克斯4：狂暴之路,2015 , 澳大利亚 美国 , 动作 科幻 冒险, 乔治·米勒 George Miller   ,汤姆·哈迪 Tom Hardy / 查理兹·塞...,8.6,293804人评价,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
聚焦,2015 , 美国 , 剧情 传记, 托马斯·麦卡锡 Thomas McCarthy   ,马克·鲁弗洛 Mark Ruffalo /...,8.8,171739人评价,新闻人的理性求真。
新世界,2013 , 韩国 , 剧情 犯罪, 朴勋政 Hoon-jung Park   ,李政宰 Jung-Jae Lee / 崔岷植 Min-sik...,8.7,146563人评价,要做就做得狠一点，这样才能活下去。
E.T. 外星人,1982 , 美国 , 剧情 科幻, Steven Spielberg   ,Henry Thomas / Dee Wallace / Robert MacNa...,8.5,210009人评价,生病的E.T.皮肤的颜色就像柿子饼。
这个男人来自地球,2007 , 美国 , 剧情 科幻, 理查德·沙因克曼 Richard Schenkman   ,大卫·李·史密斯 David ...,8.5,243871人评价,科幻真正的魅力不是视觉效果能取代的。
末路狂花,1991 , 美国 法国 , 犯罪 剧情 惊悚, 雷德利·斯科特 Ridley Scott   ,吉娜·戴维斯 Geena Davis / 苏...,8.7,137358人评价,没有了退路，只好飞向自由。
黑鹰坠落,2001 , 美国 , 动作 历史 战争, 雷德利·斯科特 Ridley Scott   ,乔什·哈奈特 Josh Hartnett / ...,8.6,168294人评价,还原真实而残酷的战争。
发条橙,1971 , 英国 美国 , 犯罪 剧情 科幻, Stanley Kubrick   ,Malcolm McDowell / Patrick Magee / Michael...,8.5,236841人评价,我完全康复了。
变脸,1997 , 美国 , 动作 科幻 犯罪 惊悚, 吴宇森 John Woo   ,约翰·特拉沃尔塔 John Travolta / 尼古拉斯...,8.4,271346人评价,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯
遗愿清单,2007 , 美国 , 冒险 喜剧 剧情, 罗伯·莱纳 Rob Reiner   ,杰克·尼科尔森 Jack Nicholson / 摩根...,8.6,189486人评价,用剩余不多的时间，去燃烧整个生命。
